Lingala;English
Kikwata : Mbote Mama Sakina;Hello Mrs. S .

Sakina : Mbote Papa Kikwata;Hello Mr. K .

Kikwata : Sango nini ?;What's up ?

Sakina : Sango te;No news

Kikwata : Boni bana ?;How are the children ?

Sakina : Bazali malamu;They are fine
Kikwata : Okeyi wapi ?;Where are you going ?

Sakina : Nakeyi na wenze;I'm going to the market
Kikwata : Sima okosala nini ?;After what will you do ?

Sakina : Nakokende na etonga;I will go to church
Kikwata : Moteyi na bino nani ?;Your preacher is who ?

Sakina : Kombo na ye Lordy;His name is Lordy
Kikwata : Ngaï mpe nakoya;I too will come

Sakina : Boyeyi elamu;Welcome
Kikwata : Yebisa nga, akoteya nini;Tell me, he will preach on what ?

Sakina : Akoteya LILOBA ya bolingo mpe bomoko;He will preach THE WORLD of love and unity
Kikwata : Namoni ekozala esengo mingi;I see that there will be a lot of joy

Sakina : Ya sóló;It's the truth
Kikwata : Tokoyemba ba njembo na masanjoli;We will sing praises and worshipers

Sakina : Pona lokumu ya NZAMBE NA BOMOYI;For the Glory of the LIVING GOD
