Lingala;English
εε;yes
kitoko;beautiful, pretty, nice
likambo;thing
mabe;bad, evil, wicked
malamu;good, well
mobali;man, husband
monene;big, great
moto;person
mwana;child
mwasi;woman, wife
na;with, of, from, to, between, in
nani;who
nini;what
nkombo;name
nsango;news
nyonso;all, every
nzambe;god
te;no, not
–zal–;be
–zal– na;have
bango;them
bino;you (plural)
biso;us
bomoi;life
boni;quantity, how (many, much)
liboso;first, before
–linga;to like, love, want
moko;one, self
–mona;see
mpe;also, and
mpo;for
ndenge;way (abstract)
ngai;me, I
ntango;time, when
–sala;to do, act, work
ya;of
yango;it, that
ye;him
–yeba;to know
yo;you (singular)
bolingo;love
buku;book
esengo;joy
–kufa;to die
lisusu;again, in addition to
–loba;to speak, talk
mabelé;earth, ground, soil
makasi;strong, hard
mama;mother
mingi;very, many, much
moke;small, little
mosusu;other, another
nguya;power
nzela;way, route, road
–pesa;to give
–sepela;to enjoy
solo;truth, true
–tanga;to read, count
tata;father
–teya;to teach
bokonzi;authority, kingdom
elongo;together
ete;that
–kanisa;think
kasi;but
–koka;be able, capable, perfect
libota;family
likoló;up, heaven, above
liteya;teaching, lesson
lokola;like
mokili;world, country
mosala;work, job, task
mpenza;really
–ndima;believe, have faith, accept
nse;below, bottom, down
nsima;after, back, behind
–sengela;require, need
–tosa;obey
–yekola;learn
–zanga;lack, be without
–banda;begin
bolamu;goodness
bolenge;youth (abstract)
bomoko;oneness, unity
bomoto;personality, character
bonene;greatness
elenge;young person, youth
–koba;continue
–koma;come, become
lelo;today
lingomba;church, religion
mobeko;law
mobimba;whole
mokolo;day
mokonzi;chief, king
–monisa;show, cause to see
motema;heart
ndakisa;example, demonstration
–pona;choose
–pusana;draw near, draw close
–salisa;help, make work
seko;forever, eternal
–ya;come to
–yangela;rule
–yebisa;inform, make known
–yoka;hear, feel, smell
–zwa;receive, get, take
ata;even, even though
–batela;protect
–benga;call
boyangeli;rulership
ebandeli;beginning
ekolo;nation, country
elikya;hope
eloko;thing (physical)
–leka;pass
libondeli;prayer, supplication
likanisi;thought
–limbola;explain
liwa;death
–longa;win, succeed
–longola;remove
nde;then
–sakola;preach
–salela;serve, work for
–sila;finish
–silisa;make finish
–tambola;walk
–tambwisa;direct
