Old Norse;English
ek;I
þú;you (singular)
hann;he
vér;we
þér;you (plural)
þeir;they
sjá, þessi;this
sá;that
hér;here
þar;there
hvar;who
hvat;what
hvar;where
hvenær;when
hvé;how
eigi, ekki;not
allr;all
margr;many
nǫkkurr;some
fár;few
annarr;other
einn;one
tveir;two
þrír;three
fjórir;four
fimm;five
stórr;big
langr;long
víðr;wide
þykkr;thick
þungr;heavy
lítill, smalr;small
stuttr, kortr;short
mjór, þrǫngr;narrow
þunnr;thin
kona, kvinna;woman
karl, kall;man (adult male)
maðr, menskr (late);man (human being)
barn;child
kona, kván, kvæn;wife
bóndi;husband
móðir;mother
faðir;father
dýr, djór;animal
fiskr;fish
fogl, fugl (late);bird
hundr;dog
lús;louse
ormr, snókr, snákr (poetic);snake
ormr, maðkr;worm
tré;tree
skógr;forest
kvistr, stafr, pinni (late);stick
ávǫxtr, fruktr (late);fruit
fræ;seed
lauf;leaf
rót;root
bǫrkr;bark (of a tree)
blóm;flower
gras;grass
reip, tog, festr;rope
húð;skin
kjǫt;meat
blóð;blood
bein;bone
mǫrr;fat (noun)
egg;egg
horn;horn
hali;tail
fjǫðr;feather
hár;hair
hǫfuð;head
eyra;ear
auga;eye
nef;nose
munnr;mouth
tǫnn;tooth
tunga;tongue (organ)
nagl;fingernail
fótr;foot
leggr;leg
kné;knee
hǫnd;hand
vængr;wing
magi;belly
þarmar;guts
hals;neck
bak;back
brjóst;breast
hjarta;heart
lifr;liver
drekka;to drink
eta;to eat
bíta;to bite
súga;to suck
spýta;to spit
spýja;to vomit
blása;to blow
anda;to breathe
hlæja;to laugh
sjá;to see
heyra;to hear
vita;to know
þekkja;to think
þefa;to smell
ugga;to fear
sofa;to sleep
lifa;to live
deyja;to die
drepa;to kill
hals;to fight
bak;to hunt
berja;to hit
skera;to cut
kljúfa;to split
stinga;to stab
kleyja (uncertain, related to kló);to scratch
grafa;to dig
svimma;to swim
fljúga;to fly
ganga;to walk
koma;to come
liggja;to lie (as in a bed)
sitja;to sit
standa;to stand
hverfa, vinda, snúa;to turn (intransitive)
falla;to fall
gefa;to give
halda;to hold
þrýsta;to squeeze
gniða, gnúa;to rub
vaska, þvá;to wash
strjúka, þurka;to wipe
draga;to pull
hrinda, bægja, ýta;to push
kasta;to throw
binda;to tie
sýja;to sew
telja;to count
segja;to say
syngva, syngja;to sing
leika;to play
fljóta;to float
streyma;to flow
frjósa, kala;to freeze
svella;to swell
sól, sunna (poetic), rǫðull (poetic);sun
tungl, máni (poetic);moon
stjarna;star
vatn, lǫgr;water
regn;rain
á, elfr, fljót;river
vatn, lǫgr;lake
haf, sær, sjór (late), sjár (late), ægir, lǫgr;sea
salt;salt
steinn;stone
sandr;sand
dust;dust
jǫrð;earth
ský;cloud
þoka;fog
himinn;sky
vindr;wind
snjór;snow
íss;ice
reykr;smoke
eldr, bál;fire
aska;ash
brenna;to burn
gata, vegr, leið, braut;road
fjall;mountain
rauðr;red
grœnn;green
gulr;yellow
hvítr;white
svartr;black
nótt;night
dagr;day
ár;year
varmr;warm
kaldr;cold
fullr;full
nýr;new
gamall;old
góðr;good
illr;bad
rotinn;rotten
skitinn;dirty
beinn;straight
kringlóttr;round
skarpr;sharp (as a knife)
sljór, sljár, slær;dull (as a knife)
sléttr;smooth
vátr, blautr;wet
þurr;dry
réttr, réttligr;correct
nær, hjá;near
fjarri;far
réttr, hœgr;right
vinstri;left
á;at
í;in
með;with
ok;and
ef;if
því at;because
nafn;name
